NAME,INTERNAL REFERANCE,CATEGORY,TYPE,BARCODE,UOM,PURCHASE UOM,SALE PRICE,COST PRICE,WEIGHT,VOLUME
HUSKY CHUNKS GRVY CHIC 12x385g,,All,Product,,Unit(s),Unit(s),,,,
HUSKY CHUNKS GRVY CHICK 6x385g,,All,Product,,Unit(s),Unit(s),,,,
HUSKY CHUNKS GRVY LAMB 12x385g,,All,Product,,Unit(s),Unit(s),,,,
HUSKY CHUNKS GRVY LAMB  6x385g,,All,Product,,Unit(s),Unit(s),,,,
HUSKY CHUNKS GRVY CHICK 6x775g,,All,Product,,Unit(s),Unit(s),,,,
HUSKY CHUNKS GRVY BEEF  6x775g,,All,Product,,Unit(s),Unit(s),,,,
HUSKY CHUNKS GRVY LAMB  6x775g,,All,Product,,Unit(s),Unit(s),,,,
NESPRAY SACHETS        24x250g,,All,Product,,Unit(s),Unit(s),,,,
NESPRAY SACHETS         1x250g,,All,Product,,Unit(s),Unit(s),,,,
CREMORA SACHETS        24x500g,,All,Product,,Unit(s),Unit(s),,,,
CREMORA SACHETS        10x500g,,All,Product,,Unit(s),Unit(s),,,,
WOODEN STIRRERS NARROW 1x1000s,,All,Product,,Unit(s),Unit(s),,,,
NIDO +1                6x1.8kg,,All,Product,,Unit(s),Unit(s),,,,
NIDO +1                  1.8kg,,All,Product,,Unit(s),Unit(s),,,,
NIDO +1               2x6x400g,,All,Product,,Unit(s),Unit(s),,,,
NIDO +1                 6x400g,,All,Product,,Unit(s),Unit(s),,,,
NIDO +3              2x6x400gr,,All,Product,,Unit(s),Unit(s),,,,
NIDO +3                6x400gr,,All,Product,,Unit(s),Unit(s),,,,
CHEERIOS MULTIGRAIN CER12x490g,,All,Product,,Unit(s),Unit(s),,,,
CHEERIOS MULTIGRAIN CER 1x490g,,All,Product,,Unit(s),Unit(s),,,,
CHEERIOS CEREAL        16x340g,,All,Product,,Unit(s),Unit(s),,,,
CHEERIOS CEREAL         1x340g,,All,Product,,Unit(s),Unit(s),,,,
MILO CEREAL            16x350g,,All,Product,,Unit(s),Unit(s),,,,
MILO CEREAL             1x350g,,All,Product,,Unit(s),Unit(s),,,,
MILO CEREAL            12x500g,,All,Product,,Unit(s),Unit(s),,,,
MILO CEREAL             1x500g,,All,Product,,Unit(s),Unit(s),,,,
HUSKY CHUNKS GRVY LAMB  1x775g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE NESCAFE CLASSIC 12x500g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE NESCAFE CLASSIC  1x500g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE HOT CHOCOLATE    1.75kg,,All,Product,,Unit(s),Unit(s),,,,
NESTLE HOT CHOC SACHETS 50x25g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE SUPERVEND        1x25kg,,All,Product,,Unit(s),Unit(s),,,,
NESTLE BAR ONE ENRGY SPRD1x5kg,,All,Product,,Unit(s),Unit(s),,,,
LAZENBY MAGGI WORC SAUCE 2x5lt,,All,Product,,Unit(s),Unit(s),,,,
LAZENBY MAGGI WORC SAUCE   5lt,,All,Product,,Unit(s),Unit(s),,,,
NESCAFE MP SACHET DEC 200x1.8g,,All,Product,,Unit(s),Unit(s),,,,
